"URL","Budget","Date Scraped","Description","Feedback","Job ID","Location","Project Length","Project Payment Type","Proposals","Skill Level","Time Posted","Title","Total Spent","Weekly Hours"
"https://www.upwork.com/jobs/Content-Creator-personal-assistant_~021883415218857759950/?referrer_url_path=/nx/search/jobs/","Hourly","2025-01-26T09:05:26.762Z","**Job Description:** Looking for a personal assistant who can help with online tasks that involve social media platforms, organization and scheduling. Must be good at organizing. In person tasks as well such as errands and setting up for content filming.",,"1883415218857759950",,"Less than 1 month","Hourly",,"Entry Level","Posted 1 hour ago","Content Creator personal assistant",,"30+ hrs/week"
"https://www.upwork.com/jobs/Editor-needed-stylize-and-edit-document_~021883387125247103535/?referrer_url_path=/nx/search/jobs/","$20.00","2025-01-26T09:05:26.762Z","I am putting together a comprehensive Q&A document to send to my customers so they can have a useful and interesting resource when navigating the buying process. I am writing questions and answers about my business and product. All I need is for someone to edit the final draft and stylize the headers and format to make it more engaging and easier to read and digest for my customers. Applicant should have strong english, editing, and design skills.",,"1883387125247103535",,,"Project",,"Entry Level","Posted 34 minutes ago","Editor needed to stylize and edit a Q&A document",,
"https://www.upwork.com/jobs/Immigration-doc-translate_~021883373222832230959/?referrer_url_path=/nx/search/jobs/","$15.00 - $25.00","2025-01-26T09:05:26.762Z","I am currently in the process of filing Form I-130 for my husband. I need a certified translation of the following document(s) from Spanish to English: They need 3 documents, the first one is the one I provide you which is his name and address in our native language (spanish), the second one is the one you will work which is the same as te first one but translated to english and the thir one is where you declare you are a certified translator doing the translate of doc. ex: Nombre: xxx Direccion: xxx ---------------------------------------------------- Name: xxx Address: xxx ----------------------------------------------------- I, [Translator's Full Name], certify that I am competent to translate from Spanish to English, and that the translation of the document provided is, to the best of my knowledge and ability, a true and accurate translation of the original text. Translator’s Name: [Full Name of Translator] Signature: _____________________ Date: [Date of Translation] Address: [Translator’s Address] ---------------------------------------------------------------- The translation will be submitted as part of our immigration application, so it is essential that the translation be certified and comply with the U.S. Citizenship and Immigration Services (USCIS) requirements. Specifically, I will need the translation to be accompanied by a certification from you, confirming that you are a qualified translator and that the translation is accurate. Could you kindly let me know your availability and the cost for this service? Additionally, please provide any details or instructions for submitting the documents for translation. Thank you very much for your assistance. I look forward to hearing from you soon. Best regards,",,"1883373222832230959",,"Less than 1 month","Hourly",,"Expert","Posted 1 hour ago","Immigration doc translate",,"Less than 30 hrs/week"
"https://www.upwork.com/jobs/Mobile-App-Developer-for-User-Centric-Experience-Design_~021883363123023696431/?referrer_url_path=/nx/search/jobs/","$40.00 - $53.00","2025-01-26T09:05:26.762Z","We are seeking a full-time Mobile App Developer to join our team and create innovative, user-first mobile experiences. The ideal candidate will have a passion for developing applications that prioritize user engagement and satisfaction. You will collaborate closely with our design and product teams to bring ideas to life, ensuring seamless functionality and responsiveness. If you have a strong background in mobile development and a commitment to user experience, we want to hear from you!",,"1883363123023696431",,"More than 6 months","Hourly",,"Entry Level","Posted 2 hours ago","Mobile App Developer for User-Centric Experience Design",,"Less than 30 hrs/week"
"https://www.upwork.com/jobs/Bookkeeper-Thorough-Timely_~021883407066640733390/?referrer_url_path=/nx/search/jobs/","Hourly","2025-01-26T09:05:26.762Z","I am looking for a remote Bookkeeper with AP and AR experience. Familiar with taxes and very keen on details. Duties and Responsibilities: Processing incoming payments and accounts and ensuring compliance with financial regulations and procedures Preparing bills, invoices, and bank deposits and organizing and filing transaction documents Evaluating reports and verifying discrepancies to resolve client billing issues and to finalize client payments Generating financial reports and statements that detail the status of accounts payable Preparing and processing electronic payments, transfers, and financial transactions Entering and uploading transaction reports and invoices into company databases Sorting, coding, matching, and filing invoices, expense reports, and complete and incomplete transactions Organizing and maintaining creditor and vendor files and corresponding with vendors and creditors Maintaining accurate records and providing documentation for auditing and tax reporting purposes",,"1883407066640733390",,"More than 6 months","Hourly",,"Intermediate","Posted 2 hours ago","Bookkeeper - Thorough & Timely",,"30+ hrs/week"
"https://www.upwork.com/jobs/Seeking-business-development-expert-place-high-value-tech-contract-opportunities_~021883433829317071407/?referrer_url_path=/nx/search/jobs/","Hourly","2025-01-26T09:05:26.762Z","Description: I am a cybersecurity and data analysis professional with exceptional skills in closing deals and delivering high-quality results. I am seeking a highly experienced business development consultant or placement expert who can secure remote, high-value tech contract opportunities for me. Your role will be simple: • Identify opportunities: Source high-value ($1M+ contracts) remote opportunities in cybersecurity and data analysis. • Arrange introductions: Place me in front of decision-makers or set up interviews with key stakeholders. • Focus on placement: You focus on finding the opportunities, I’ll take care of closing the deal with my strong technical knowledge and communication skills. Qualifications: • Proven experience placing individuals or agencies in high-value tech contracts. • Deep understanding of the tech industry, especially in cybersecurity and data analysis. • Strong network of decision-makers in industries such as finance, healthcare, government, or enterprise tech. • Ability to source and secure opportunities remotely. Deliverables: • Arrange introductions or meetings with qualified clients. • Help draft initial outreach messages or proposals if needed. • Ongoing support in identifying new opportunities.",,"1883433829317071407",,"Less than 1 month","Hourly",,"Expert","Posted 28 minutes ago","Seeking business development expert to place me in high value tech contract opportunities",,"Less than 30 hrs/week"
"https://www.upwork.com/jobs/Looking-for-research-WIZARD-build-scholarships-lists-Earning-Potential-000-000_~021883433727072522799/?referrer_url_path=/nx/search/jobs/","$2,000.00","2025-01-26T09:05:26.762Z","We are a scholarship consultancy firm that is looking for research specialists who can quickly and efficiently build scholarships lists that meet a very specific criteria. Responsibilities: 1.) Will need to run Google searches and identify scholarships a student qualifies for that meet our criteria to add to the student's list 2.) Will need to communicate with client to replace any unqualified scholarships and replace them Qualifications: 1.) Must be quick to response and communicative 2.) Must be direct. We won't tolerate someone who beats around the bush 3.) Must have really good research skills 4.) Experience with scholarships is HUGE bonus but not required 5.) Must be able to hit deadlines 6.) Must be able to follow directions Payment Terms: We will pay you $3 for each scholarship you find that a student qualifies for and meets our criteria. As of right now, we are enrolling 10-15 students per month who are each promised a list of 100 scholarships (or $50,000 in scholarship value) that they qualify for so you have the ability to make $300 per list (plus we will be paying out bonuses as well) However, we keep having to turn off our advertising and we are actively turning families down because we don't have the man power to build more lists. This means we can easily send you 4, 8, 10, or 20+ students per week. It all depends on how much you can handle. If you are an organization that has a team of researchers, then this will be a HUGE plus and this can be a very fruitful relationship for the both of us!! If you are interested, submit a proposal and answer these questions: 1.) Knowing that we need to identify 100 scholarships (or $50,000 in scholarship value) that a student qualifies for and meets our criteria in 30-45 days, how many lists can you build every month? 2.) When can you start? Please review our search criteria and do some research before you submit a proposal to ensure you are able to handle the amount of students you believe you can 3.) Do you have a team that will assist in scholarship search? If so, how many people are on it?",,"1883433727072522799",,,"Project",,"Expert","Posted 29 minutes ago","Looking for a research WIZARD to build scholarships lists (Earning Potential: $5,000-$10,000+/M)",,
"https://www.upwork.com/jobs/Seeking-someone-perform-copy-editing-proofreading-for-contemporary-romance-ongoing-basis_~021883419505682900713/?referrer_url_path=/nx/search/jobs/","$35.00","2025-01-26T09:05:26.762Z","Hello, I am seeking someone to perform copy editing as well as proofreading for contemporary romance novels on an ongoing basis. Editing will be done in word with tracking changes and using the Chicago manual of style. Please only apply if you are experienced with CMOS. I am looking for someone who responds in a timely fashion and who can turn around a project from time to time with minimal notice. Different things may need editing on short notice. A professional editor was great communication skills is a must The copy editing and proofreading rate foe this book is $35.00. Steady reliable work is offered. Please submit a recent one page copy editing work sample, your typical turnaround time, your experience level, your education, and what type of books you personally enjoy reading. When you apply, make the first word on your application “Starting a new chapter with beautiful beginnings” Thank you for considering my job post. I look forward to hearing from you soon.",,"1883419505682900713",,,"Project",,"Entry Level","Posted 1 hour ago","Seeking someone to perform copy editing & proofreading for contemporary romance on an ongoing basis",,
"https://www.upwork.com/jobs/Pump-leads-and-appointments-the-field-Real-Estate-using-Google-ads-account_~021883436996511519280/?referrer_url_path=/nx/search/jobs/","Hourly","2025-01-26T09:05:26.762Z","I need an expert to help to pump up leads and appointments in the field of Real Estate using my Google ads account, which is integrated with my Google Maps presence. My business specializes in residential and commercial Property sales in the Las Vegas, Nevada area in the US. More specifically, I primarily represent property sellers, and do not usually represent property buyers. Listing and selling properties is my ultimate goal. I need someone that can short-term manage my Google ads account. My interest is to drive traffic to my website, and to receive more sales leads via my website chatbot, by SMS and by telephone calls.",,"1883436996511519280",,"Less than 1 month","Hourly",,"Intermediate","Posted 16 minutes ago","Pump up leads and appointments in the field of Real Estate using my Google ads account",,"Less than 30 hrs/week"
"https://www.upwork.com/jobs/Professionalize-your-Upwork-profile-fulfilling-the-allocated-task_~021883382422251595497/?referrer_url_path=/nx/search/jobs/","$25.00","2025-01-26T09:05:26.762Z","We are currently looking for interested individuals who can undertake an exciting project, with significant guaranteed incentives. Each project will only require 5 minutes of your time. We need trustworthy individuals to complete a short assignment that will take just a few minutes. In exchange for completing this simple task, which will enhance your profile for future opportunities, I'll give you a 5-star rating and a thoughtful review. To express your genuine interest in the position, please include ""Very interested"" in your cover letter when applying. This will demonstrate your commitment and understanding of the job description. Please note that we will only consider sincere candidates.",,"1883382422251595497",,,"Project",,"Entry Level","Posted 52 minutes ago","Professionalize your Upwork profile by fulfilling the allocated task",,
